time	V(n003)	V(n004)
0.000000000000000e+00	6.575875e-02	2.752617e-16
1.078189922554262e-05	-2.915490e-02	6.769287e-04
3.234569767662787e-05	-2.226495e-01	2.018378e-03
7.234569767666787e-05	-5.818323e-01	4.390683e-03
1.123456976767079e-04	-9.167595e-01	6.487105e-03
1.523456976767479e-04	-1.196886e+00	8.175919e-03
1.923456976767879e-04	-1.393892e+00	9.351009e-03
2.323456976768279e-04	-1.486549e+00	9.938541e-03
2.584154891311918e-04	-1.486026e+00	9.986023e-03
2.787006333226927e-04	-1.451408e+00	9.837843e-03
3.116361940254109e-04	-1.334569e+00	9.259429e-03
3.516361940254509e-04	-1.104704e+00	8.029317e-03
3.916361940254909e-04	-8.022416e-01	6.294692e-03
4.316361940255309e-04	-4.564011e-01	4.164549e-03
4.716361940255709e-04	-9.709934e-02	1.772732e-03
5.116361940256109e-04	2.495845e-01	-7.304724e-04
5.516361940256509e-04	5.625114e-01	-3.187778e-03
5.916361940256909e-04	8.275093e-01	-5.444785e-03
6.316361940257309e-04	1.035963e+00	-7.359675e-03
6.716361940257709e-04	1.183483e+00	-8.812129e-03
7.116361940258109e-04	1.268285e+00	-9.710886e-03
7.505081331929953e-04	1.290047e+00	-9.999949e-03
7.658274021518086e-04	1.281658e+00	-9.950593e-03
7.907556688742101e-04	1.249019e+00	-9.673915e-03
8.307556688742501e-04	1.145676e+00	-8.740094e-03
8.707556688742901e-04	9.795616e-01	-7.257102e-03
9.107556688743301e-04	7.529202e-01	-5.318119e-03
9.507556688743701e-04	4.714030e-01	-3.044979e-03
9.907556688744101e-04	1.452673e-01	-5.805119e-04
1.030755668874450e-03	-2.090622e-01	1.920431e-03
1.070755668874490e-03	-5.686245e-01	4.300706e-03
1.110755668874530e-03	-9.051495e-01	6.410752e-03
1.150755668874570e-03	-1.188055e+00	8.117987e-03
1.190755668874610e-03	-1.388851e+00	9.315139e-03
1.230755668874650e-03	-1.485938e+00	9.926986e-03
1.257817795917049e-03	-1.487479e+00	9.987938e-03
1.277727886861757e-03	-1.454640e+00	9.848622e-03
1.310061832625831e-03	-1.342637e+00	9.296334e-03
1.350061832625871e-03	-1.116145e+00	8.087886e-03
1.390061832625911e-03	-8.159594e-01	6.371246e-03
1.430061832625951e-03	-4.712039e-01	4.254277e-03
1.470061832625991e-03	-1.118595e-01	1.869997e-03
1.510061832626031e-03	2.358234e-01	-6.317825e-04
1.550061832626071e-03	5.504304e-01	-3.093865e-03
1.590061832626111e-03	8.175511e-01	-5.361548e-03
1.630061832626151e-03	1.028367e+00	-7.292345e-03
1.670061832626191e-03	1.178355e+00	-8.764938e-03
1.710061832626231e-03	1.265654e+00	-9.686797e-03
1.749893189444518e-03	1.289729e+00	-9.999998e-03
1.764960300490781e-03	1.281870e+00	-9.955854e-03
1.789346298294858e-03	1.251033e+00	-9.695964e-03
1.828817249392656e-03	1.151636e+00	-8.798625e-03
1.868817249392696e-03	9.885211e-01	-7.340356e-03
