time	V(n003)	V(n004)
0.000000000000000e+00	6.540659e-02	2.752617e-16
1.054391036725555e-05	-2.920897e-02	6.620089e-04
3.163173110176665e-05	-2.220130e-01	1.974422e-03
7.163173110180665e-05	-5.881013e-01	4.350334e-03
1.116317311018467e-04	-9.297916e-01	6.452900e-03
1.516317311018867e-04	-1.216024e+00	8.150007e-03
1.916317311019267e-04	-1.417968e+00	9.335018e-03
2.316317311019667e-04	-1.513940e+00	9.933475e-03
2.581472510646554e-04	-1.514095e+00	9.986901e-03
2.782640844340989e-04	-1.479517e+00	9.842725e-03
3.109297340794237e-04	-1.362594e+00	9.276101e-03
3.509297340794637e-04	-1.129940e+00	8.055695e-03
3.909297340795037e-04	-8.228887e-01	6.329121e-03
4.309297340795437e-04	-4.710902e-01	4.204863e-03
4.709297340795837e-04	-1.049956e-01	1.816399e-03
5.109297340796237e-04	2.487619e-01	-6.861958e-04
5.509297340796637e-04	5.685086e-01	-3.145675e-03
5.909297340797037e-04	8.396543e-01	-5.407499e-03
6.309297340797437e-04	1.053281e+00	-7.329551e-03
6.709297340797837e-04	1.204809e+00	-8.791059e-03
7.109297340798237e-04	1.292349e+00	-9.700194e-03
7.502324852811659e-04	1.315444e+00	-9.999990e-03
7.653785600394425e-04	1.307111e+00	-9.953353e-03
7.900261651999640e-04	1.274641e+00	-9.685422e-03
8.299110771649021e-04	1.170530e+00	-8.765757e-03
8.699110771649421e-04	1.002143e+00	-7.293510e-03
9.099110771649821e-04	7.719606e-01	-5.362985e-03
9.499110771650221e-04	4.857268e-01	-3.095483e-03
9.899110771650621e-04	1.538565e-01	-6.334812e-04
1.029911077165102e-03	-2.069794e-01	1.868325e-03
1.069911077165142e-03	-5.734703e-01	4.252737e-03
1.109911077165182e-03	-9.169009e-01	6.369934e-03
1.149911077165222e-03	-1.206177e+00	8.086884e-03
1.189911077165262e-03	-1.412279e+00	9.295707e-03
1.229911077165302e-03	-1.513121e+00	9.920445e-03
1.257499829861120e-03	-1.515625e+00	9.988899e-03
1.277210368149317e-03	-1.482991e+00	9.854206e-03
1.309223978568919e-03	-1.371358e+00	9.315603e-03
1.349223978568959e-03	-1.142447e+00	8.118734e-03
1.389223978568999e-03	-8.379360e-01	6.411733e-03
1.429223978569039e-03	-4.873662e-01	4.301860e-03
1.469223978569079e-03	-1.212541e-01	1.921686e-03
1.509223978569119e-03	2.335816e-01	-5.792353e-04
1.549223978569159e-03	5.551654e-01	-3.043761e-03
1.589223978569199e-03	8.286442e-01	-5.317036e-03
1.629223978569239e-03	1.044875e+00	-7.256222e-03
